,USD Value,CAD Value,PNL,Post-trading PNL,Post-fee PNL,ETF PNL,EQ PNL,FI PNL,EM PNL,RE PNL,Option PNL,Delta PNL,Vega PNL,Theta PNL,Rho PNL,Unexplained PNL,Return,Post-trading Return,Post-fee Return,ETF Return,EQ Return,FI Return,EM Return,RE Return,Option Return,Delta Return,Vega Return,Theta Return,Rho Return,Unexplained Return,Injection,FX,ETF Fees,ETF Expenses,Option Fees,Option Spread,Total Trading Fees,Advisor Fees,Total Fees,Percentage Trading Fees,Percentage Advisor Fees,Percentage Fees
2015-08-31,235247.24516387854,309107.8227279815,-5632.050280633033,-5710.876587719802,-5770.590225298685,-5632.050280633033,-2075.4977806273746,-682.9125069338479,-1660.7170898677796,-1212.9229032040676,0.0,0.0,0.0,0.0,0.0,0.0,-0.024943004448343468,-0.025292107320360246,-0.025556564747680866,-0.024943004448343468,-0.009191883558414687,-0.003024456254741706,-0.00735491902521796,-0.005371745609969277,0.0,0.0,0.0,0.0,0.0,0.0,15221.04766471076,1.31397,39.6,39.226307086763846,0,0,78.82630708676385,59.713637578875264,138.5399446656391,0.000349102872016733,0.000264457427320632,0.000613560299337365
2015-09-30,234473.96616992605,312155.19116202253,-675.3581553736294,-714.5464550785837,-773.2789939524955,-675.3581553736294,-1182.9882011980299,1274.7616759016237,-1371.532680276734,604.401050199478,0.0,0.0,0.0,0.0,0.0,0.0,-0.0028708440555941885,-0.0030374275141067386,-0.0032870905392061722,-0.0028708440555941885,-0.0050287016129516564,0.00541881659448805,-0.005830175309051094,0.002569216271920373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3313,0.0,39.188299704943404,0,0,39.188299704943404,58.73253887390894,97.92083857885234,0.00016658345851252774,0.00024966302509937805,0.00041624648361190573
2015-10-31,239147.79880259122,312802.92935580126,4872.554860987933,4734.828644620138,4673.832632665173,4872.554860987933,3008.4414237501624,-62.86367346631596,670.6827507082598,1256.2943599958417,0.0,0.0,0.0,0.0,0.0,0.0,0.020780792599621636,0.02019340876926501,0.01993326896376213,0.020780792599621636,0.01283059894832806,-0.00026810513121425987,0.002860371928123603,0.005357926854384296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.30799,94.05000000000003,43.67621636786403,0,0,137.72621636786405,60.99601195496244,198.72222832282648,0.0005873838303568945,0.00026013980550300376,0.0008475236358598981
2015-11-30,237892.88738584777,317879.61291159136,-1068.4282853065233,-1195.520600662072,-1254.9114167434454,-1068.4282853065233,-14.638885295324144,-585.3869109049265,-384.4905675881455,-83.91192151809446,0.0,0.0,0.0,0.0,0.0,0.0,-0.004467648419329489,-0.004999086785025919,-0.0052474303465336325,-0.004467648419329489,-6.121271184021254e-05,-0.002447803884610054,-0.001607752902235701,-0.0003508789206433844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33623,84.15000000000002,42.942315355494415,0,0,127.09231535549443,59.390816081384365,186.4831314368788,0.0005314383656962071,0.00024834356150779197,0.0007797819272039991
2015-12-31,235594.4506358633,326036.80429046485,-2139.873452828906,-2241.6516456932004,-2298.436749984481,-2139.873452828906,-816.9687563549232,-830.0556617171678,-977.7926968982028,484.94366214133333,0.0,0.0,0.0,0.0,0.0,0.0,-0.008995113205541793,-0.009422945218439338,-0.009661645521400364,-0.008995113205541793,-0.0034341873997680715,-0.003489199155294072,-0.004110222494009595,0.0020384958435297152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38389,59.40000000000001,42.37819286423294,0,0,101.77819286423295,56.78510429128974,158.5632971555227,0.00042783201289727895,0.00023870030296108753,0.0006665323158583664
2016-01-31,232318.86003278993,324688.8387818272,-3140.0305237070716,-3220.1492702856776,-3275.5906030733604,-3140.0305237070716,-1704.854953234193,3213.215232188668,-3770.15363592605,-878.2371667355728,0.0,0.0,0.0,0.0,0.0,0.0,-0.013328117513940634,-0.013668188115613877,-0.013903513407181767,-0.013328117513940634,-0.007236396904226029,0.0136387560212742,-0.01600272682888117,-0.0037277498021079593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3976,39.6,40.51874657847142,0,0,80.11874657847142,55.44133278767321,135.56007936614463,0.0003400706016726328,0.00023532529156794013,0.000575395893240573
2016-02-29,249016.3010645949,337175.5421304934,2084.6167628761905,1988.0609339419461,1926.7195559144893,2084.6167628761905,-75.39240893381066,1999.1166443147522,360.52748031876763,-199.63495282359145,0.0,0.0,0.0,0.0,0.0,0.0,0.008973084503694464,0.008557466809459013,0.008293427213109439,0.008973084503694464,-0.0003245212589419973,0.008605055327977217,0.0015518648820327461,-0.0008593144473738146,0.0,0.0,0.0,0.0,0.0,0.0,14770.721475890492,1.3540299999999998,54.45000000000001,42.1058289342073,0,0,96.55582893420731,61.34137802745795,157.89720696166526,0.00041561769423532484,0.00026403959634960374,0.0006796572905849286
2016-03-31,258814.5697631458,336565.05466569244,9939.539766110567,9864.646697497548,9798.268698550877,9939.539766110567,2484.925999782048,1576.2220353453595,3611.075623402521,2267.3161075805474,0.0,0.0,0.0,0.0,0.0,0.0,0.03991521729146658,0.03961446160481952,0.03934790074650252,0.03991521729146658,0.00997896920466045,0.006329794590180211,0.014501362392600182,0.009105091104025374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.30041,29.7,45.19306861294727,0,0,74.89306861294727,66.37799894666693,141.2710675596142,0.0003007556866468753,0.0002665608583168556,0.0005673165449637309
2016-04-30,260450.65775423445,327021.8458762168,1811.8411501894007,1705.2783943257236,1636.0879910886579,1811.8411501894007,485.46129668098,331.87603818200296,1606.8788168434548,-612.3750015170735,0.0,0.0,0.0,0.0,0.0,0.0,0.007000537689387068,0.006588803697899603,0.006321467885621379,0.007000537689387068,0.001875710850147463,0.0012822927182411692,0.006208610351086457,-0.002366076230088162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2556,59.40000000000001,47.16275586367772,0,0,106.56275586367772,69.19040323705404,175.75315910073175,0.0004117339914874138,0.0002673358122781637,0.0006790698037655773
2016-05-31,258868.15691561275,338928.31180490437,-1371.5383726052241,-1516.5406421301013,-1582.5008386216941,-1371.5383726052241,428.0388783342787,-158.26556927408092,-2153.521145154027,512.2094634885507,0.0,0.0,0.0,0.0,0.0,0.0,-0.00526601999945583,-0.005822756046026667,-0.00607601014436665,-0.00526601999945583,0.0016434547795927752,-0.0006076604706578354,-0.00826844195258714,0.001966627644196161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3092700000000002,99.00000000000003,46.002269524829984,0,0,145.00226952483,65.96019649158926,210.96246601641928,0.0005567360465706966,0.00025325409833992584,0.0008099901449106225
2016-06-30,268029.46052784304,346414.67625921074,9333.569083491166,9230.475011768402,9161.303612230287,9333.569083491166,171.1226173750474,5094.626512156421,2511.286912575466,1556.5330413841657,0.0,0.0,0.0,0.0,0.0,0.0,0.03605530009831906,0.03565705076185721,0.03538984370030773,0.03605530009831906,0.0006610415874009212,0.019680390871006953,0.009701026740782602,0.006012840899128327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29245,54.45000000000001,48.64407172279604,0,0,103.09407172279606,69.17139953811338,172.26547126090944,0.0003982493364620478,0.00026720706154933626,0.0006654563980113841
2016-07-31,273000.625618559,355722.5451872386,5179.781185083033,5041.056915980298,4971.165090715978,5179.781185083033,1509.7870564701007,1400.715011281165,1320.9114870440608,948.3676302877138,0.0,0.0,0.0,0.0,0.0,0.0,0.01932541734360934,0.018807846369024883,0.018547084641091338,0.01932541734360934,0.005632914581467298,0.00522597407211383,0.004928232457889993,0.0035382962321382464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.30301,89.10000000000002,49.62426910272971,0,0,138.72426910272975,69.89182526430498,208.61609436703475,0.0005175709745844114,0.00026076172793342836,0.0007783327025178399
2016-08-31,286467.50562793645,375412.8014503544,-1583.7508573805098,-1721.6682074864511,-1794.5870754534262,-1583.7508573805098,-67.29513478572335,-785.8286752044805,176.7669721950333,-907.3940195853174,0.0,0.0,0.0,0.0,0.0,0.0,-0.005801271897425439,-0.006306462498338772,-0.006573563966702611,-0.005801271897425439,-0.0002465017603283782,-0.002878486719303176,0.0006474965828174147,-0.0033237800006112195,0.0,0.0,0.0,0.0,0.0,0.0,15261.467084830865,1.31049,89.10000000000002,48.81735010598424,0,0,137.91735010598427,72.91886796694605,210.8362180729303,0.0005051906009134377,0.000267101468363774,0.0007722920692772116
2016-09-30,285975.1336550027,375405.2774515952,-370.9637118250248,-419.7247107818839,-492.37197293376084,-370.9637118250248,252.74354237210355,-194.51034226999036,13.805169894923893,-443.002081822091,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012949591298736405,-0.0014651738941973136,-0.0017187707619908954,-0.0012949591298736405,0.0008822764795542516,-0.0006789961808883836,4.819105002734246e-05,-0.0015464304785669527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31272,0.0,48.760998956861336,0,0,48.760998956861336,72.64726215189617,121.4082611087575,0.00017021476432371372,0.00025359686779362095,0.00042381163211733467
2016-10-31,282902.78048634424,379352.8254375536,-2891.1241118741455,-3001.983099740348,-3072.3531686584465,-2891.1241118741455,-679.5457915799561,-2754.4717182618333,2010.4633909724726,-1467.5699930048504,0.0,0.0,0.0,0.0,0.0,0.0,-0.010109704556907267,-0.010497357100152316,-0.01074342768684533,-0.010109704556907267,-0.0023762408391764327,-0.009631857438293213,0.007030203519016006,-0.0051318097984537035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34093,59.40000000000001,51.45898786602456,0,0,110.85898786602456,70.37006891812115,181.2290567841457,0.00038765254324441944,0.00024607058669308933,0.0006337231299375088
2016-11-30,274740.9663265921,369183.17350135813,-7975.034827759897,-8093.615029046137,-8161.814159752161,-7975.034827759897,788.3493114320736,-6396.8950880586635,-1840.7273571222722,-525.7616940111184,0.0,0.0,0.0,0.0,0.0,0.0,-0.02819001924989865,-0.028609174555061734,-0.028850243697573497,-0.02819001924989865,0.002786643913774214,-0.022611637386743332,-0.006506572165737779,-0.0018584536111920505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34375,69.30000000000001,49.28020128630109,0,0,118.5802012863011,68.19913070600542,186.77933199230654,0.000419155305163305,0.00024106914251165304,0.0006602244476749581
2016-12-31,277154.2735655427,372514.74447123904,2601.8517418232514,2482.0890777111053,2413.307238950627,2601.8517418232514,1237.3775599772416,162.5701301326917,-2.5586773427639855,1204.4627290561002,0.0,0.0,0.0,0.0,0.0,0.0,0.009470199426795198,0.00903428822755381,0.008783936633905087,0.009470199426795198,0.004503797073008534,0.0005917214760737216,-9.313053589985616e-06,0.004383993931302995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34407,69.30000000000001,50.46266411213263,0,0,119.76266411213264,68.78183876048503,188.54450287261767,0.0004359111992412791,0.0002503515936488415,0.0006862627928901206
