Dates,SPY US Equity,EFA US Equity,XLF US Equity,XLK US Equity,XLV US Equity,XLP US Equity,XLE US Equity,EWJ US Equity,EWZ US Equity,XLU US Equity,XLI US Equity,EZU US Equity,IYR US Equity,XLB US Equity,RWR US Equity,IXN US Equity,ISMUF US Equity,ICF US Equity,IYZ US Equity,ILF US Equity,IEV US Equity,TIP US Equity,AGG US Equity,IEF US Equity,TLT US Equity,SHY US Equity,LQD US Equity
3/31/10,132.4108,64.434,15.1911,24.8548,35.4447,32.0083,62.9147,44.04,86.9104,36.789,35.1739,42.3565,66.7465,38.9055,72.119,59.9321,2.7877,75.4423,24.05,53.8403,44.8675,137.5285,135.5555,114.6505,117.639,101.2661,145.42453
4/30/10,134.462,62.6269,15.3901,25.1657,34.0658,31.6645,65.5288,43.83,85.2788,37.7565,36.6714,40.2581,71.0103,38.9858,77.0691,60.9267,2.7559,80.816,24.4825,53.3941,43.1004,140.9868,136.875,116.5461,121.5474,101.5696,148.19717
5/31/10,123.7747,55.6172,13.9815,23.2838,31.8484,30.1976,58.0254,40.11,74.9667,35.6727,33.3274,35.1773,66.9744,35.2696,72.897,55.0733,2.6499,76.9569,23.5455,47.7502,38.197,141.2579,138.3568,119.966,127.7572,102.0302,146.25756
6/30/10,117.3712,54.4638,13.18,22.0272,31.2685,29.4341,54.5852,39.09,73.2735,35.4215,31.0355,34.3528,63.8584,32.683,69.0077,51.6994,2.6817,72.8764,22.651,46.9952,37.4814,143.0677,140.8028,123.6222,135.1609,102.4572,151.05363
7/30/10,125.3878,60.7872,14.0389,23.6685,31.6788,31.1425,59.1559,40.91,83.4059,38.0662,34.2715,39.5148,69.8642,36.8764,75.853,55.9598,2.7559,80.3751,24.6903,52.8838,42.6582,142.7218,142.007,124.7471,133.8805,102.6555,154.24129
8/31/10,119.7478,58.4803,12.9362,22.3404,31.1576,30.5653,56.2553,39.85,80.2891,38.6177,31.8954,36.7593,68.9579,35.7589,74.8925,51.6578,2.8089,79.5655,24.314,51.2953,40.6377,145.4932,143.8342,128.9351,145.1216,102.9002,158.64743
9/30/10,130.4716,64.312,13.7213,24.9453,33.9816,32.412,61.8799,42,91.1895,39.7364,35.5704,41.6686,72.1644,38.5321,78.2117,57.7602,2.9679,82.7622,26.6137,57.3427,45.2526,146.6363,143.8463,128.9337,141.4732,103.0219,159.37689
10/29/10,135.4559,66.7594,13.9265,26.3866,34.7394,33.4466,65.3901,42.57,91.2985,40.167,36.5939,44.1954,75.003,40.9065,81.6489,60.9206,3.2859,86.2513,26.9435,59.1354,47.3688,150.2644,144.065,128.9249,135.1531,103.2485,158.96064
11/30/10,135.4588,63.5391,13.8318,25.9531,33.7364,32.9235,69.2203,43.63,88.7032,38.9513,37.0828,39.2982,73.8123,41.365,80.2031,60.0474,3.2859,84.4332,26.6626,57.9895,43.4951,147.7202,142.8618,127.767,132.8724,103.0366,156.39292
12/31/10,144.5104,68.8129,15.3123,27.3948,35.2894,34.371,75.6703,46.67,94.8709,40.1578,39.8565,42.7815,77.1858,45.5143,83.9837,64.0798,2.9492,88.5776,28.8146,61.5734,47.2692,145.6737,141.9031,123.3919,127.9763,102.8679,155.22288
