Ticker,Name,Inception Date,Primary Exchange,Fund Geographical Focus,Tot Asset (M),Fund Industry Focus
TIP US Equity,ISHARES TIPS BOND ETF,12/5/03,NYSE Arca,United States,20264.59,N.A.
DVY US Equity,ISHARES SELECT DIVIDEND ETF,11/7/03,NASDAQ GM,United States,17081.254,N.A.
IYT US Equity,ISHARES TRANSPORTATION AVERA,10/10/03,Cboe BZX Exchange (Cboe BZX),United States,522.856,Industrials
ONEQ US Equity,FIDELITY NASDAQ COMP INDX TS,10/1/03,NASDAQ GM,United States,2039.924,N.A.
AGG US Equity,ISHARES CORE U.S. AGGREGATE,9/26/03,NYSE Arca,United States,63176.355,N.A.
FVD US Equity,FIRST TRUST VALUE LINE DVD,8/26/03,NYSE Arca,United States,6303.339,N.A.
FVL US Equity,FIRST TRUST VALUE LINE 100,6/12/03,NYSE Arca,United States,41.549,N.A.
PWC US Equity,INVESCO DYNAMIC MARKET ETF,5/1/03,NYSE Arca,United States,149.468,N.A.
DWAQ US Equity,INVESCO EXCHANGE-TRADED FUND,5/1/03,NASDAQ GM,United States,46.67,N.A.
RSP US Equity,INVESCO S&P 500 EQUAL WEIGHT,4/30/03,NYSE Arca,United States,15970.84,N.A.
EEM US Equity,ISHARES MSCI EMERGING MARKET,4/11/03,NYSE Arca,International,30816.18,N.A.
EZA US Equity,ISHARES MSCI SOUTH AFRICA ET,2/7/03,NYSE Arca,South Africa,400.281,N.A.
IUTSF US Equity,ISHARES S&P/TSX 60 INDEX ETF,2/6/03,OTC US,Canada,9542.146,N.A.
ISMUF US Equity,ISHARES MSCI CHINA INDEX ETF,11/19/02,OTC US,China,2546.377,N.A.
ADRA US Equity,INVESCO BLDRS ASIA 50 ADR IN,11/13/02,NASDAQ GM,Asian Pacific Region,17.946,N.A.
ADRE US Equity,INVESCO BLDRS EMERGING MARKE,11/13/02,NASDAQ GM,International,128.568,N.A.
ADRD US Equity,INVESCO BLDRS DEVELOPED MARK,11/13/02,NASDAQ GM,International,33.048,N.A.
ADRU US Equity,INVESCO BLDRS EUROPE SELECT,11/13/02,NASDAQ GM,European Region,11.509,N.A.
FEZ US Equity,SPDR EURO STOXX 50 ETF,10/21/02,NYSE Arca,Eurozone,2283.241,N.A.
FEU US Equity,SPDR STOXX EUROPE 50 ETF,10/21/02,NYSE Arca,European Region,194.251,N.A.
IUSPF US Equity,ISHARES S&P/TSX CAPPED REIT,10/17/02,OTC US,Canada,1364.174,Real Estate
